timestamp,coin,signal,reasoning
2025-11-10T08:44:23.486414,ETH,hold,
2025-11-10T08:44:23.486414,SOL,hold,
2025-11-10T08:44:23.486414,XRP,hold,
2025-11-10T08:44:23.486414,BTC,entry,
2025-11-10T08:44:23.486414,DOGE,hold,
2025-11-10T08:44:23.486414,BNB,hold,
2025-11-10T08:47:29.732996,ETH,hold,
2025-11-10T08:47:29.732996,SOL,hold,
2025-11-10T08:47:29.732996,XRP,hold,
2025-11-10T08:47:29.732996,BTC,hold,
2025-11-10T08:47:29.732996,DOGE,hold,
2025-11-10T08:47:29.732996,BNB,hold,
2025-11-10T08:50:35.432039,ETH,hold,
2025-11-10T08:50:35.432039,SOL,hold,
2025-11-10T08:50:35.432039,XRP,hold,
2025-11-10T08:50:35.432039,BTC,hold,
2025-11-10T08:50:35.432039,DOGE,hold,
2025-11-10T08:50:35.432039,BNB,hold,
2025-11-10T08:53:41.055653,ETH,hold,
2025-11-10T08:53:41.055653,SOL,hold,
2025-11-10T08:53:41.055653,XRP,hold,
2025-11-10T08:53:41.055653,BTC,hold,
2025-11-10T08:53:41.055653,DOGE,hold,
2025-11-10T08:53:41.055653,BNB,hold,
2025-11-10T08:56:48.037542,ETH,entry,
2025-11-10T08:56:48.037542,SOL,entry,
2025-11-10T08:56:48.037542,XRP,entry,
2025-11-10T08:56:48.037542,BTC,hold,
2025-11-10T08:56:48.037542,DOGE,entry,
2025-11-10T08:56:48.037542,BNB,entry,
2025-11-10T08:59:53.800451,ETH,hold,
2025-11-10T08:59:53.800451,SOL,hold,
2025-11-10T08:59:53.800451,XRP,hold,
2025-11-10T08:59:53.800451,BTC,hold,
2025-11-10T08:59:53.800451,DOGE,hold,
2025-11-10T08:59:53.800451,BNB,hold,
2025-11-10T09:03:01.354950,ETH,hold,
2025-11-10T09:03:01.354950,SOL,hold,
2025-11-10T09:03:01.354950,XRP,hold,
2025-11-10T09:03:01.354950,BTC,hold,
2025-11-10T09:03:01.354950,DOGE,hold,
2025-11-10T09:03:01.354950,BNB,hold,
2025-11-10T09:06:07.194722,ETH,hold,
2025-11-10T09:06:07.194722,SOL,hold,
2025-11-10T09:06:07.194722,XRP,hold,
2025-11-10T09:06:07.194722,BTC,hold,
2025-11-10T09:06:07.194722,DOGE,hold,
2025-11-10T09:06:07.194722,BNB,hold,
2025-11-10T09:09:12.891321,ETH,hold,
2025-11-10T09:09:12.891321,SOL,hold,
2025-11-10T09:09:12.891321,XRP,hold,
2025-11-10T09:09:12.891321,BTC,hold,
2025-11-10T09:09:12.891321,DOGE,hold,
2025-11-10T09:09:12.891321,BNB,hold,
2025-11-10T09:12:18.964616,ETH,hold,
2025-11-10T09:12:18.964616,SOL,hold,
2025-11-10T09:12:18.964616,XRP,hold,
2025-11-10T09:12:18.964616,BTC,hold,
2025-11-10T09:12:18.964616,DOGE,hold,
2025-11-10T09:12:18.964616,BNB,hold,
2025-11-10T09:15:24.769040,ETH,hold,
2025-11-10T09:15:24.769040,SOL,hold,
2025-11-10T09:15:24.769040,XRP,hold,
2025-11-10T09:15:24.769040,BTC,hold,
2025-11-10T09:15:24.769040,DOGE,hold,
2025-11-10T09:15:24.769040,BNB,hold,
2025-11-10T09:18:30.604960,ETH,hold,
2025-11-10T09:18:30.604960,SOL,hold,
2025-11-10T09:18:30.604960,XRP,hold,
2025-11-10T09:18:30.604960,BTC,hold,
2025-11-10T09:18:30.604960,DOGE,hold,
2025-11-10T09:18:30.604960,BNB,hold,
2025-11-10T09:21:36.545611,ETH,hold,
2025-11-10T09:21:36.545611,SOL,hold,
2025-11-10T09:21:36.545611,XRP,hold,
2025-11-10T09:21:36.545611,BTC,hold,
2025-11-10T09:21:36.545611,DOGE,hold,
2025-11-10T09:21:36.545611,BNB,hold,
2025-11-10T09:24:42.426771,ETH,hold,
2025-11-10T09:24:42.426771,SOL,hold,
2025-11-10T09:24:42.426771,XRP,hold,
2025-11-10T09:24:42.426771,BTC,hold,
2025-11-10T09:24:42.426771,DOGE,hold,
2025-11-10T09:24:42.426771,BNB,hold,
2025-11-10T09:27:48.478721,ETH,hold,
2025-11-10T09:27:48.478721,SOL,hold,
2025-11-10T09:27:48.478721,XRP,hold,
2025-11-10T09:27:48.478721,BTC,hold,
2025-11-10T09:27:48.478721,DOGE,hold,
2025-11-10T09:27:48.478721,BNB,hold,
2025-11-10T09:53:46.832944,ETH,hold,
2025-11-10T09:53:46.832944,SOL,hold,
2025-11-10T09:53:46.832944,XRP,hold,
2025-11-10T09:53:46.832944,BTC,hold,
2025-11-10T09:53:46.832944,DOGE,hold,
2025-11-10T09:53:46.832944,BNB,hold,
